Notes	State	State Code	Year	Year Code	Age Group	Age Group Code	Gender	Gender Code	Cause of death	Cause of death Code	Deaths	Population	Crude Rate
	Alabama	1	2007	2007	25-34 years	25-34	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	12	302088	4.0 (Unreliable)
	Alabama	1	2007	2007	35-44 years	35-44	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	23	325948	7.1
	Alabama	1	2007	2007	35-44 years	35-44	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	44	325948	13.5
	Alabama	1	2007	2007	35-44 years	35-44	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	12	325948	3.7 (Unreliable)
	Alabama	1	2007	2007	35-44 years	35-44	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	13	313008	4.2 (Unreliable)
	Alabama	1	2007	2007	35-44 years	35-44	Male	M	"Pancreas, unspecified - Malignant neoplasms"	C25.9	12	313008	3.8 (Unreliable)
	Alabama	1	2007	2007	35-44 years	35-44	Male	M	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	29	313008	9.3
	Alabama	1	2007	2007	45-54 years	45-54	Female	F	"Colon, unspecified - Malignant neoplasms"	C18.9	36	350063	10.3
	Alabama	1	2007	2007	45-54 years	45-54	Female	F	"Pancreas, unspecified - Malignant neoplasms"	C25.9	15	350063	4.3 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	114	350063	32.6
	Alabama	1	2007	2007	45-54 years	45-54	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	118	350063	33.7
	Alabama	1	2007	2007	45-54 years	45-54	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	10	350063	2.9 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Female	F	Malignant neoplasm of ovary	C56	21	350063	6
	Alabama	1	2007	2007	45-54 years	45-54	Female	F	"Brain, unspecified - Malignant neoplasms"	C71.9	18	350063	5.1 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Oesophagus, unspecified - Malignant neoplasms"	C15.9	34	330732	10.3
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Stomach, unspecified - Malignant neoplasms"	C16.9	12	330732	3.6 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	37	330732	11.2
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	Malignant neoplasm of rectum	C20	10	330732	3.0 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	Liver cell carcinoma - Malignant neoplasms	C22.0	15	330732	4.5 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Liver, unspecified - Malignant neoplasms"	C22.9	12	330732	3.6 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Pancreas, unspecified - Malignant neoplasms"	C25.9	29	330732	8.8
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	164	330732	49.6
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	C43.9	18	330732	5.4 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	Malignant neoplasm of prostate	C61	12	330732	3.6 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Malignant neoplasm of kidney, except renal pelvis"	C64	14	330732	4.2 (Unreliable)
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Brain, unspecified - Malignant neoplasms"	C71.9	26	330732	7.9
	Alabama	1	2007	2007	45-54 years	45-54	Male	M	"Non-Hodgkin lymphoma, unspecified type"	C85.9	13	330732	3.9 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Stomach, unspecified - Malignant neoplasms"	C16.9	10	282783	3.5 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Colon, unspecified - Malignant neoplasms"	C18.9	59	282783	20.9
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Pancreas, unspecified - Malignant neoplasms"	C25.9	40	282783	14.1
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Bronchus or lung, unspecified - Malignant neoplasms"	C34.9	251	282783	88.8
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	C43.9	12	282783	4.2 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Breast, unspecified - Malignant neoplasms"	C50.9	156	282783	55.2
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Cervix uteri, unspecified - Malignant neoplasms"	C53.9	20	282783	7.1
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	Endometrium - Malignant neoplasms	C54.1	14	282783	5.0 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	Malignant neoplasm of ovary	C56	55	282783	19.4
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Malignant neoplasm of kidney, except renal pelvis"	C64	12	282783	4.2 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Brain, unspecified - Malignant neoplasms"	C71.9	17	282783	6.0 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	"Non-Hodgkin lymphoma, unspecified type"	C85.9	13	282783	4.6 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Female	F	Multiple myeloma - Malignant neoplasms	C90.0	16	282783	5.7 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Pharynx, unspecified - Malignant neoplasms"	C14.0	11	259292	4.2 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Oesophagus, unspecified - Malignant neoplasms"	C15.9	54	259292	20.8
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Stomach, unspecified - Malignant neoplasms"	C16.9	29	259292	11.2
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	"Colon, unspecified - Malignant neoplasms"	C18.9	67	259292	25.8
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	Malignant neoplasm of rectosigmoid junction	C19	13	259292	5.0 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	Malignant neoplasm of rectum	C20	14	259292	5.4 (Unreliable)
	Alabama	1	2007	2007	55-64 years	55-64	Male	M	Liver cell carcinoma - Malignant neoplasms	C22.0	27	259292	10.4
